36,SaoSebastiao,Partido A,18
36,SaoSebastiao,Partido G,5
36,SaoSebastiao,Partido C,61
36,SaoSebastiao,Partido E,9
36,SaoSebastiao,Partido F,24
37,SaoSebastiao,Partido A,44
37,SaoSebastiao,Partido G,8
37,SaoSebastiao,Partido C,268
37,SaoSebastiao,Partido E,24
37,SaoSebastiao,Partido F,193
38,SaoSebastiao,Partido A,68
38,SaoSebastiao,Partido G,5
38,SaoSebastiao,Partido C,277
38,SaoSebastiao,Partido E,18
38,SaoSebastiao,Partido F,152
39,SaoSebastiao,Partido A,64
39,SaoSebastiao,Partido G,7
39,SaoSebastiao,Partido C,227
39,SaoSebastiao,Partido E,18
39,SaoSebastiao,Partido F,116
40,SaoSebastiao,Partido A,27
40,SaoSebastiao,Partido G,2
40,SaoSebastiao,Partido C,93
40,SaoSebastiao,Partido E,9
40,SaoSebastiao,Partido F,52
41,SaoSebastiao,Partido A,63
41,SaoSebastiao,Partido G,6
41,SaoSebastiao,Partido C,338
41,SaoSebastiao,Partido E,18
41,SaoSebastiao,Partido F,140
42,SaoSebastiao,Partido A,33
42,SaoSebastiao,Partido G,6
42,SaoSebastiao,Partido C,95
42,SaoSebastiao,Partido E,10
42,SaoSebastiao,Partido F,45
43,SaoSebastiao,Partido A,59
43,SaoSebastiao,Partido G,13
43,SaoSebastiao,Partido C,327
43,SaoSebastiao,Partido E,19
43,SaoSebastiao,Partido F,151
44,SaoSebastiao,Partido A,58
44,SaoSebastiao,Partido G,7
44,SaoSebastiao,Partido C,331
44,SaoSebastiao,Partido E,25
44,SaoSebastiao,Partido F,172
45,SaoSebastiao,Partido A,55
45,SaoSebastiao,Partido G,15
45,SaoSebastiao,Partido C,264
45,SaoSebastiao,Partido E,38
45,SaoSebastiao,Partido F,122
46,SaoSebastiao,Partido A,84
46,SaoSebastiao,Partido G,22
46,SaoSebastiao,Partido C,270
46,SaoSebastiao,Partido E,47
46,SaoSebastiao,Partido F,99
47,SaoSebastiao,Partido A,81
47,SaoSebastiao,Partido G,13
47,SaoSebastiao,Partido C,240
47,SaoSebastiao,Partido E,50
47,SaoSebastiao,Partido F,102
48,SaoSebastiao,Partido A,41
48,SaoSebastiao,Partido G,8
48,SaoSebastiao,Partido C,155
48,SaoSebastiao,Partido E,22
48,SaoSebastiao,Partido F,74
49,SaoSebastiao,Partido A,56
49,SaoSebastiao,Partido G,5
49,SaoSebastiao,Partido C,369
49,SaoSebastiao,Partido E,20
49,SaoSebastiao,Partido F,221
50,SaoSebastiao,Partido A,47
50,SaoSebastiao,Partido G,6
50,SaoSebastiao,Partido C,311
50,SaoSebastiao,Partido E,26
